Investor name,Website,Linkedin,Individual LinkedIn,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
Green Mesa Capital,http://www.GreenMesaCapital.com,https://www.linkedin.com/company/green-mesa-capital,,"Henderson, Nevada, United States",USA,,,Family office,,
Green Park & Golf Ventures,https://www.gpgventures.com/,,,"Dallas, Texas, United States",USA,,,Other,,
Greenfield One,https://greenfield.one/,https://www.linkedin.com/company/greenfield-one/,,,UK,,,VC,,
Greenfield Partners,http://greenfieldlp.com/,http://linkedin.com/company/greenfieldlp/,,,,5. Growth,,VC,,
GreenGage Capital,https://www.greengagecap.com/,,,"Wilmette, Illinois, United States",USA,,,Family office,,
Greenlight Re Innovations,https://www.greenlightre.com/,https://www.linkedin.com/showcase/greenlight-re-innovations,,"65 Market Street, Suite 1207 Jasmine Court, Camana Bay,PO Box 31110, Grand Cayman KY1-1205 , KY",USA,"3. Early Revenue,2. Prototype,1. Idea or Patent",We invest in early stage insurtech startups.,Corporate VC,$0 ,
GreenSoil Investments,http://greensoil-investments.com/,,,,,"5. Growth,6. Pre-IPO",,VC,,
Greenspring Associates,https://www.greenspringassociates.com/,,,"Owings Mills, Maryland, United States",USA,,,Other,,
GreenStart,http://www.greenstart.com/,,,,,,,,,
Greenwoods Asset Management,http://www.greenwoodsasset.com/,,,,Hong Kong,,,VC,,
Greycroft Partners,https://www.greycroft.com/,,,"New York, New York, United States",USA,,,VC,,
Greylock Partners,https://www.greylock.com/,https://www.linkedin.com/company/18077,,"Menlo Park, California, United States","USA,Israel,Canada",3. Early Revenue,,VC,,
Grid110,https://www.grid110.org/,,,,,"2. Prototype,3. Early Revenue",,"Incubator, Accelerator",,
Griffin Gaming Partners,https://griffingp.com/,https://www.linkedin.com/company/griffin-gaming-partners/,,,,,,Other,,
Grishin Robotics,https://www.grishinrobotics.com/,https://www.linkedin.com/company/grishinrobotics/,,"2735 Sand Hill Rd #220, Menlo Park, CA 94025, USA","USA,Canada","2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage companies in broader consumer categories. We are actively exploring areas such as social, gaming, entertainment, food tech, digital fitness, commerce, and education. We are also exploring emerging areas such as personal and team productivity tools, the future of work, and fin-tech. ",VC,"$1,000,000 ",
Grit Mind Partners,https://grit-mind.com/,https://www.linkedin.com/in/jonathan-avni-023a6054/,,,,"5. Growth,6. Pre-IPO",,VC,,
Grit Ventures,https://gritventures.com/,https://www.linkedin.com/company/gritventures/,,"3101 Park Blvd, Palo Alto, California 94306, US",USA,3. Early Revenue,We invest in US-based startups addressing industries suffering from systematic labor shortages.,VC,"$250,000 ",
Grok Ventures,https://grok.ventures/,,,Australia,Australia,3. Early Revenue,,VC,,
Grotech Ventures,https://www.grotech.com/,,,"Vienna, Virginia, United States",USA,,,Other,,
Ground Floor Ventures,https://groundfloor.ventures/,https://www.linkedin.com/company/groundfloor-ventures/,,"London, UK","USA,UK","2. Prototype,3. Early Revenue,1. Idea or Patent",We invest in companies and founders we want to see in the world.,Angel network,"$50,000 ",
Ground Up Ventures,https://www.groundup.vc/,https://www.linkedin.com/company/ground-up-ventures,,"New York, USA","USA,Israel","2. Prototype,3. Early Revenue",We invest in pre-seed and seed stage startups in the US and Israel. ,VC,"$250,000 ",
Groundswell Ventures,http://www.groundswell-ventures.com,https://www.linkedin.com/company/groundswellventures/,,,,,,,,
Group 11,http://group11.vc/,https://www.linkedin.com/company/group11/about/,,,,,,,,
Grouport Ventures,https://www.grouport.cz/en,https://www.linkedin.com/company/grouport/,,"PlynÃ¡rnÃ­ 10, ÄŒeskÃ¡ Republika 11000, CZ","Czech Republic,Poland,Slovakia,Hungary,Australia,Lithuania,Switzerland,Latvia,Estonia,Bulgaria,Belarus,Croatia,Slovenia","2. Prototype,3. Early Revenue",We invest in CEE/Baltics based seed startups with the 1. MVP done 2. first validation/traction 3. founders with warriors DNA. We are focusing on deep tech/fin-tech/marketplaces ; B2B/B2C/B2B2C business models.,VC,"$40,000 ",
Grove Ventures,https://www.grovevc.com/,https://www.linkedin.com/company/10397034/admin/,https://www.linkedin.com/in/danna-zinger/,"3 HaNechoshet St., Tel Aviv, Israel 6971915, IL",Israel,"3. Early Revenue,2. Prototype,1. Idea or Patent",We invest in deep technology & partner with exceptional Israeli entrepreneurs.,VC,"$500,000 ",
Growinâ€™Partners,https://www.growin.jp/,,,,Japan,,,Corporate VC,,
GrowthX,https://growthx.com/,https://www.linkedin.com/company/growthx,,,USA,,,VC,,
GrowX Ventures,http://growxventures.com/,,,India,India,2. Prototype,,VC,,
GS Shop,https://company.gsshop.com/en/sustainable-management/future-growth/contentsid/79/index,,,"Seoul, Seoul-t'ukpyolsi, South Korea",South Korea,,,Corporate VC,,
GS Venture,http://venture.gs/en/,,,,,,,Corporate VC,,
GSR Ventures,http://www.gsrventures.com/en,,,China,"USA,China",3. Early Revenue,,VC,,
GSV Asset Management,http://gsvam.com/team/,https://www.linkedin.com/in/michaelmoe,,USA,"USA,Israel,Canada",3. Early Revenue,,VC,,
GSV Labs,https://www.gsvlabs.com/,https://www.linkedin.com/company/gsvlabs/,,,USA,,,Other,,
GSV Ventures,https://gsv.ventures/,https://www.linkedin.com/company/gsvventures,,"171 2nd St, San Francisco, California US","USA,India,Indonesia,Malaysia,Canada,Mexico,Brazil,South Africa,Egypt,Nigeria,Kenya,Argentina,Peru,Chile,UK,France,Germany,Spain,UAE,Jordan,Saudi Arabia","3. Early Revenue,4. Scaling,5. Growth",We invest in education technology companies only.,VC,"$250,000 ",
GT Healthcare Capital Partners,http://www.gthcap.com/,,,Hong Kong,Hong Kong,3. Early Revenue,,VC,,
GTR Ventures,http://gtrventures.vc/,https://sg.linkedin.com/company/gtr-ventures,,"Singapore, Central Region, Singapore",Singapore,,,Corporate VC,,
Guano by DocCheck,http://www.guano.ag/en/,https://www.linkedin.com/pub/frank-antwerpes/22/336/1aa,,"Cologne, Nordrhein-Westfalen, Germany",Germany,,,Corporate VC,,
Gumi Cryptos Capital,https://www.gumi-cryptos.com/,,,USA,USA,2. Prototype,,Corporate VC,,
Gumi Ventures,http://www.gumiventures.jp/,,,,Japan,,,VC,,
GV Google Ventures,https://www.gv.com/,https://www.linkedin.com/company/g-v-/,,"Mountain View, California, United States","USA,France,Israel,Canada","3. Early Revenue,4. Scaling",,Corporate VC,,
GVA Capital,http://gva.capital/,,,USA,"USA,Israel,Canada",,,VC,,
GWC Greenwood Way Capital,https://www.gwc.london/,,,,UK,,,Other,,
GXH Capital,https://gxhcapital.com/,https://www.linkedin.com/company/gxhcapital/,,,,"2. Prototype,3. Early Revenue",,VC,,
H Capital,https://hcapital.pt/,https://www.linkedin.com/company/hcapital-partners/,,,,,,Other,,
H Venture Partners,https://h.ventures/,https://www.linkedin.com/company/h-venture-partners/,,,,"2. Prototype,3. Early Revenue",,VC,,
H-Farm,http://www.h-farm.com/en/,https://www.linkedin.com/company/h-farm/,,"Roncade, Veneto, Italy",Italy,,,Corporate VC,,
H20 Capital Innovation,https://www.h20capital.com/,https://co.linkedin.com/company/h20capital,,,,"2. Prototype,3. Early Revenue",,VC,,
Haas Portman,http://haasportman.com/,https://www.linkedin.com/company/haas-portman/,,"Los Angeles, California, United States",USA,,,Family office,,
Hachijuni Capital,https://www.hcc82.co.jp/,,,,Japan,,,VC,,
Hack VC,https://hack-vc.com/,https://www.linkedin.com/in/alexpack/,,USA,"USA,Israel,Canada",,,VC,,
Hack Fund,https://hackfund.com/,,,,,,,,,
Hadasit Bio-Holdings,http://www.hbl.co.il/default.asp,,,,,"2. Prototype,3. Early Revenue",,VC,,
Hadean Ventures,https://hadeanventures.com,,,Norway,Norway,"2. Prototype,3. Early Revenue",,VC,,
Haflo,https://www.haflo.com/,https://www.linkedin.com/company/haflo/,,,,,,Other,,
Hakuhodo DY Ventures,https://www.hakuhodody-ventures.co.jp/,,,,Japan,,,Corporate VC,,
Halcyon Impact Angel Network,https://halcyonhouse.org/new-angel-investor-group-forming-dc-here-are-details,,,,,,,Angel network,,
Haload Ventures,http://haload.vc,https://www.linkedin.com/in/innovatorjohn,,"Wilmington, Delaware, United States",USA,,,Family office,,
Hambro Perks,http://www.hambroperks.com/,,,,,,,Other,,
Hanaco Venture Capital,http://hanacovc.com/,,,Israel,"USA,Israel,Canada",3. Early Revenue,,VC,,
Hangar 51 Ventures by IAG,https://www.hangar51.com/investment/,https://www.linkedin.com/company/iag-hangar51/,,"London, England, United Kingdom",UK,,,Corporate VC,,
Hankyu Hanshin Properties,https://www.hhp.co.jp/en/,,,,Japan,,,Corporate VC,,
Hanne Capital,http://www.hannecapital.com/,,,,China,,,Other,,
HNVR Hanover Technology Investments,https://hnvr.com/,,,,,,,,,
Hansen Investment Holdings,http://www.chuckhansen.co,,,"Sacramento, California, United States",USA,,,Family office,,
Happiness Ventures,https://www.happinessvc.com/,https://www.linkedin.com/in/ajayramachandran/,,USA,USA,3. Early Revenue,,VC,,
Harbor Pacific Capital,http://www.harborpac.com/,,,,,,,,,
Harbour Equity Partners,http://harbourequitypartners.com/,,,"Port Orange, Florida, United States",USA,,,Family office,,
Hard Yaka,https://hardyaka.com/,https://www.linkedin.com/company/hardyaka/,,"Crystal Bay, Nevada, United States",USA,,,Other,,
HardGamma Ventures,http://www.hardgamma.com/,,,,,,,VC,,
Hardware Club VC,https://www.hardwareclub.co/,https://www.linkedin.com/company/hardware-club/,,USA,"USA,Japan,France,Canada","3. Early Revenue,2. Prototype",,VC,"$100,000 ",
Harmony Partners,http://www.harmonyvp.com/,https://www.linkedin.com/pub/mark-lotke/3/b50/979,,,,,,VC,,
Harrison Metal,https://www.harrisonmetal.com/,,,"2430 3rd Street, San Francisco, CA, 94107",USA,,,Other,,
Harvard Business Alumni Angels of Greater New York,https://www.hbsangelsny.com/,https://www.linkedin.com/company/harvard-business-school-alumni-angels-of-greater-new-york,,,,,,Angel network,,
Harvest Global Investments,http://www.harvestglobal.com.hk/en/home/,,,"Central, Hong Kong Island, Hong Kong",Hong Kong,,,Corporate VC,,
Hasso Plattner Ventures,http://www.hp-ventures.com/,,,,,,,VC,,
Hatch Blue,https://www.hatch.blue/,https://www.linkedin.com/company/11143346/,,,UK,,,VC,,
Hatteras Venture Partners,http://hatterasvp.com/,https://www.linkedin.com/company/hatteras-venture-partners/,,"Durham, North Carolina, United States",USA,,,Other,,
Hawaii Angels,http://hawaiiangels.org/,http://www.linkedin.com/groups?gid=763367,,,,,,Angel network,,
Hawkeye Investments,http://www.hawkeyeinvestmentsllc.com,,,"Kirkland, Washington, United States",USA,,,Family office,,
Haystack,https://www.haystack.vc/,,,"5 Nelson Avenue Mill Valley, CA 94941 United States ",USA,,,Other,,
HBCC Investment,http://www.hbcc.vc/,,,,Hong Kong,,,VC,,
HBCUVC,http://www.hbcu.vc/,https://www.google.com/url?q=https%3A%2F%2Fwww.linkedin.com%2Fcompany%2Fhbcuvc%2Fmycompany%2F&sa=D&sntz=1&usg=AOvVaw3Qyvy3zP3LnrbJNRrimz1H,,,,,,Other,,
HCAP Partners,https://www.hcapllc.com/,https://www.linkedin.com/company/hcap-partners,,,,,,Other,,
HCV Half Court Ventures,http://www.halfcourt.vc/,https://www.linkedin.com/in/robmay,,,,,,Other,,
Heal Capital,https://healcapital.com/,https://www.linkedin.com/in/eckhardt-weber-11651b39/,,Germany,"Germany,UK,Spain,France,Italy,Poland,Netherlands,Austria,Switzerland,Norway,Sweden,Finland",3. Early Revenue,Heal Capital is a healthtech specialist fund that invests at the convergence of healthcare and technology across the full patient journey,VC,"$1,000,000 ",
Health Innovations,https://www.healthinnovations.nl/,,,,Netherlands,"2. Prototype,3. Early Revenue",,VC,,
Health Velocity Capital,https://healthvelocitycap.com/,,,,,,,,,
Healthbox,http://www.healthbox.com/,https://www.linkedin.com/company/healthbox,,,,,,VC,,
HealthInvest Equity Partners,http://www.healthinvestequity.com,,,,,,,,,
HealthTech Capital,http://www.healthtechcapital.com/,https://www.linkedin.com/company/healthtech-capital/,,,,,,Angel network,,
HealthX Ventures,https://www.healthxventures.com/,,,,,,,,,
Healthy Ventures,https://www.healthy.vc/,https://www.linkedin.com/company/healthy-ventures/,,"1 Letterman Drive Building C, Floor P, Suite 500, San Francisco, CA 94129, United States",USA,3. Early Revenue,We invest in infrastructural solutions that enable technologies to scale healthcare. These are often enterprise- and developer-facing products.,VC,"$1,000,000 ",
Healthy.Capital,https://healthy.capital/,,,,Netherlands,"2. Prototype,3. Early Revenue",,VC,,
Hearst Ventures,https://www.hearst.com/ventures,https://www.linkedin.com/company/hearst-ventures/,,"New York, New York, United States","USA,Israel,UK,France","3. Early Revenue,4. Scaling",,Corporate VC,,
Heartcore Capital,http://www.heartcore.com/,https://www.linkedin.com/company/heartcorecapital/about/,,,"Denmark,Germany,France","3. Early Revenue,4. Scaling",,Other,,
Heartland Ventures,https://www.heartlandvc.com/,http://www.linkedin.com/company/heartlandventures,,,,"2. Prototype,3. Early Revenue",,VC,,
Heartwood Partners,https://heartwoodpartners.com/,https://www.linkedin.com/company/heartwoodpartners/,,,,,,VC,,
Heavy Bit,https://www.heavybit.com/,,,,,"2. Prototype,3. Early Revenue",,,,
Helen Ventures,https://www.helenventures.fi/,,,,UK,,,VC,,
Hella Ventures,http://HellaVentures.com,https://www.linkedin.com/company/hella-ventures,,"Sunnyvale, California, United States",USA,,,Corporate VC,,
Hellman Global,http://www.hellmanglobal.com,https://www.linkedin.com/company/hellman-global/,,"San Diego, California, United States",USA,,,Family office,,
Helpful Capital,http://www.helpful.vc/,https://www.linkedin.com/in/jacobbrody/,,,,"3. Early Revenue,4. Scaling",,VC,,
Hemi Ventures,https://www.hemi.vc/,,,,,"2. Prototype,3. Early Revenue",,VC,,
Hemisphere Venture,https://www.hemisphere.com,,,USA,USA,2. Prototype,,VC,,
henQ Capital,http://henq.nl/,,,,,,,VC,,
HenQ Capital Partners,https://henq.vc/,https://www.linkedin.com/company/henq-invest/mycompany/,,Netherlands,"Netherlands,France,Finland,Germany,Estonia,Latvia,Belgium,Luxembourg,Spain,Portugal,Italy,Ukraine,UK,Switzerland,Sweden,Norway,Belarus,Poland,Czech Republic,Slovakia,Slovenia,Romania,Hungary,Russia,Ireland,Greece,North Macedonia,Serbia,Croatia,Lithuania,Bulgaria,Moldova,Austria,Denmark","2. Prototype,1. Idea or Patent,3. Early Revenue",NTA,VC,"$200,000 ",
Heritas Capital Management,https://www.heritascapital.com/,https://www.linkedin.com/company/heritas-capital,,Singapore,"Singapore,USA",3. Early Revenue,,VC,,
Heroic Ventures,https://www.heroicvc.com/,https://www.linkedin.com/company/heroic-ventures/,,,,,,,,
Hetz Ventures,https://www.hetz.vc,https://www.linkedin.com/company/hetz-ventures/,,,UK,"3. Early Revenue,4. Scaling",,VC,,
Hewlett Packard Pathfinder,https://www.hewlettpackardpathfinder.com/,,,"Palo Alto, California, United States",USA,,,Corporate VC,,
HG Ventures by The Heritage Group,https://hgventures.com/,https://www.linkedin.com/company/hgventures/,,"6320 Intech Way, Indianapolis, Indiana 46278, US","Israel,USA,Canada,UK","3. Early Revenue,4. Scaling,5. Growth,2. Prototype","We  invest in companies from seed to growth-equity stage in chemicals, construction, materials science and sustainability with thematic connections to The Heritage Group",Corporate VC,"$1,000,000 ",
HGL Hudson Investment Group,https://www.higl.com.au/,https://www.linkedin.com/company/hudson-investment-group-ltd,,Australia,Australia,,,Other,,
Hi Inov by Dentressangle,https://www.hiinov.com/fr/,https://www.linkedin.com/company/hi-inov/,,"24-26, Place de la Madeleine 75008 Paris (AccÃ¨s 7, Rue Vignon)","France,Germany,Belgium,Austria,Switzerland","4. Scaling,3. Early Revenue",We invest in B2B Software startups at Series A & Series B.,VC,"$1,000,000 ",
HiCenter Ventures,https://hicenter.co.il/,https://www.linkedin.com/company/hicenter---haifa-business-accelerator/,,,,"2. Prototype,3. Early Revenue",,VC,,
High Flyers Capital,https://highflyerscapital.com/,https://www.linkedin.com/company/highflyerscapital,,"16 cours Albert 1er, 75008 Paris, France",France,3. Early Revenue,"We invest in FR-based food & foodtech companies (Brands & Products, Delivery, Digitization, Green Transition, MarketPlace, Novel Foods, Nutrition, etc.) with >500 kâ‚¬ turnover.",VC,"$250,000 ",
HighGrade Ventures,https://highgradevc.com/,,,,,"2. Prototype,3. Early Revenue",,VC,,
Highland Capital Management,https://www.highlandcapital.com/,https://www.linkedin.com/company/highland-capital-mgmt/,,,,,,VC,,
Highland Capital Partners,https://www.hcp.com/,,,"Palo Alto, California, United States","USA,UK,Switzerland,France","3. Early Revenue,4. Scaling",,VC,,
Highland Europe,http://www.highlandeurope.com/,https://www.linkedin.com/company/highland-europe/,,,,,,Other,,
Highroad,https://highroad.center,https://www.linkedin.com/company/highroad-innovation/,,,,"2. Prototype,3. Early Revenue",,VC,,
Highsystems,http://www.highsystem.ch/,,,,,"2. Prototype,3. Early Revenue",,VC,,
Hikma Ventures,https://www.hikmaventures.com,https://www.linkedin.com/company/hikma-ventures,,"London, England, United Kingdom","USA,Israel,Canada,UK",3. Early Revenue,,Corporate VC,,
HIL Fund,https://hil.haifa.ac.il/hil-fund/,,,,,"2. Prototype,3. Early Revenue",,VC,,
Hildred Capital Partners,http://hildredpartners.com/,,,"New York, New York, United States",USA,,,Family office,,
Hillhouse Capital,https://www.hillhousecap.com/,https://www.linkedin.com/company/hillhouse-capital-management/about/,,China,"China,USA",3. Early Revenue,,VC,"$500,000 ",
Hillman,https://hill7.org/,,,,,"2. Prototype,3. Early Revenue",,"Incubator, Accelerator",,
Hillsven,https://hillsven.com/,,,,,"2. Prototype,3. Early Revenue",,VC,,
Hina Group,http://www.hinagroup.com/,,,China,China,3. Early Revenue,,VC,,
Hippocrates VC,http://hippocratesvc.com/,https://www.linkedin.com/in/girardlaurence/,,USA,"USA,Israel,Canada",3. Early Revenue,,VC,,
Hiro Capital,https://hiro.capital/,https://www.linkedin.com/in/timlongojr,,,UK,,,VC,,
Hiroshima Venture Capital,http://www.h-vc.co.jp/,,,,Japan,,,VC,,
Hirschvogel Ventures,https://www.hirschvogel.ventures/,https://www.linkedin.com/company/hirschvogel-ventures/,,"Am Penzinger Feld 13, 86899 Landsberg, Germany","Germany,Austria,Switzerland,Belgium,Netherlands,UK,Slovenia,Spain,Croatia","3. Early Revenue,4. Scaling,5. Growth",We invest in European-based deep-tech startups in seed and series a / b rounds.,Corporate VC,"$250,000 ",
Hitachi,http://www.hitachi.com/,https://www.linkedin.com/company/hitachi/,,,Japan,,,Corporate VC,,
Hitachi Ventures,https://www.linkedin.com/company/hitachi-ventures-gmbh/,https://www.linkedin.com/company/hitachi-ventures-gmbh/,,"Leopoldstrasse 154, 80804 Munich, Germany","Germany,USA,Israel,UK,Canada,Switzerland,Spain,France,Estonia,Romania,Sweden","3. Early Revenue,4. Scaling,5. Growth","We invest in Series A-C companies that have strategic synergies with Hitachi over across Industrial IoT, robotics, energy, automotive, fintech, cybersecurity, digital health, genomics, etc., with early revenues of $1M+.",Corporate VC,"$1,000,000 ",
Hiventures,https://www.hiventures.hu/,https://www.linkedin.com/company/hiventures,,Hungary,Hungary,3. Early Revenue,,VC,,
Hivers and Strivers,http://hiversandstrivers.com/,https://www.linkedin.com/company/hnscapital/,,,,,,Angel network,,
HKSTP,https://www.hkstp.org/innovate-with-us/investment-opportunities/hkstp-ventures/,https://www.linkedin.com/company/hong-kong-science-and-technology-parks-corporation/,,Hong Kong,"USA,Israel,Canada",3. Early Revenue,,VC,,
HLM Venture Partners,https://hlmvp.com/,,,"Boston, Massachusetts, United States",USA,,,Other,,
HoaQ,https://hoaq.club/,https://www.linkedin.com/company/hoaq/,,"60 Summerseat Avenue, Clonee, D15 P5FK, Ireland","Nigeria,France,UK","3. Early Revenue,4. Scaling","We invest in founders and teams with domain expertise, technical know-how, and have attained some traction within a large defined opportunity.",Angel network,"$5,000 ",
HOF Capital,https://www.hofvc.com/,,,USA,"USA,Israel,Canada","2. Prototype,3. Early Revenue",,VC,,
Hokkaido Venture Capital,http://www.hokkaido-vc.com/,,,,Japan,,,VC,,
Holland Capital,https://hollandcapital.nl/,,,,Netherlands,"2. Prototype,3. Early Revenue",,PE fund,,
Holson Asset Management,https://www.holsonam.com/,,,"San Clemente, California, United States",USA,,,Family office,,
Holtzbrinck Digital,http://www.holtzbrinck-digital.com,https://www.linkedin.com/company/holtzbrinck-digital-gmbh/about/,,"MÃ¼nchen, Bayern, Germany",Germany,,,Corporate VC,,
Homebrew,https://homebrew.co/,,,"San Francisco, California, United States",USA,,,VC,,
Hone Capital,http://honecap.com/,https://www.linkedin.com/company/12900829,,USA,USA,,,VC,,
Honeywell Ventures,https://www.honeywell.com/ventures,https://www.linkedin.com/company/honeywell,,USA,USA,3. Early Revenue,,Corporate VC,,
HoriZen Capital,https://horizencapital.com/,https://www.linkedin.com/company/horizen-capital/,,"Edmonton, Alberta CA","Canada,USA,UK,Germany,France","4. Scaling,5. Growth",We Invest in B2B SaaS companies between $1m and $5m in ARR,PE fund,"$500,000 ",
Horizon 2020,https://ec.europa.eu/programmes/horizon2020/en,,,,"Spain,Italy,Germany,France",,,Other,,
Horizons Ventures,https://www.horizonsventures.com/,,,Hong Kong,"USA,Israel,Canada",3. Early Revenue,,VC,,
Houston Angel Network,http://www.houstonangelnetwork.org/,https://www.linkedin.com/company/the-houston-angel-network/,,,,,,Angel network,,
Hovione Capital,http://www.hovionecapital.com/en/,https://www.linkedin.com/company/bionovacapital/,,Portugal,Portugal,,,VC,,
How Women Invest,https://www.howwomeninvest.com/,https://www.linkedin.com/company/howwomeninvest/,,"1 Adrian Terrace, San Rafael, CA 94903, USA",USA,"3. Early Revenue,4. Scaling","We invest in female founded, female-led early stage companies based in the US.  We seek companies that are tech-enabled and have some revenue traction. Primarily focused on late stage seed/A capital raise rounds.",VC,"$100,000 ",
Howzat Partners,http://www.howzatpartners.com/,https://www.linkedin.com/company/howzat-media/,,,,,,VC,,
Hoxton Ventures,https://www.hoxtonventures.com/,https://www.linkedin.com/company/upinventure/,,UK,"India,USA,UK",3. Early Revenue,,VC,"$250,000 ",
HP Tech Ventures,https://hptechventures.com/,,,"Palo Alto, California, United States","Israel,USA,France",3. Early Revenue,,Corporate VC,"$1,000,000 ",
HPE Growth Capital,https://hpegrowth.com/careers/,,,,Netherlands,"4. Scaling,5. Growth",,Other,,
HR Ventures,https://www.hrventures.de/,https://www.linkedin.com/company/hr-ventures-gmbh/,,"Dreieich, Hessen, Germany",Germany,,,Corporate VC,,
HSBC Corporate Ventures,https://www.ventures.hsbc.com/,,,UK,"USA,UK",3. Early Revenue,,Corporate VC,,
HTGF High-Tech GrÃ¼nderfonds,https://www.htgf.de/en/,https://www.linkedin.com/company/high-tech-gruenderfonds/,,"SchlegelstraÃŸe 2, Bonn, Nordrhein-Westfalen 53113, DE","Germany,Switzerland,Austria,Belgium,France,Denmark,Netherlands,Sweden,Finland,Italy,Spain","3. Early Revenue,2. Prototype","We invest in early-stage companies with focus on B2B SaaS models, but also look into other opportunities. The venture should not be older than 3 years (since incorporation) and have a distinct focus on the German market.",VC,"$300,000 ",
HubAngels,http://www.hubangels.com/,,,,,,,Angel network,,
Hudson Sustainable Investments,https://www.hudsonsi.com/,https://www.linkedin.com/company/hudson-clean-energy/,,,,,,,,
Hudson Valley Startup Fund,http://www.hvstartupfund.com/,https://www.linkedin.com/company/hudson-valley-startup-fund/,,,,,,Angel network,,
Human Ventures,https://human.vc/,,,,,"2. Prototype,3. Early Revenue",,VC,,
Humanity United,https://humanityunited.org/,https://www.linkedin.com/company/humanity-united,,,USA,,,Other,,
Humble Ventures,https://humble.vc/,https://www.linkedin.com/in/harryalford,,,,,,Other,,
Hummingbird Ventures,https://www.hummingbird.vc/,https://www.linkedin.com/company/hummigbird-ventures,,"London, United Kingdom","UK,India,Turkey,Belgium,Indonesia,Brazil,Mexico,Canada,USA,Netherlands,Nigeria,France,Singapore,Greece,UAE","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in entrepreneurial genius globally at early-stage.,VC,"$500,000 ",
Hunniwell Lake Ventures,http://hunniwell.com/,,,USA,USA,3. Early Revenue,,VC,,
Huntsman Family Investments,https://www.hfinvestments.com,,,"Salt Lake City, Utah, United States",USA,,,Family office,,
Huron River Ventures,https://www.huronrivervc.com/,http://www.linkedin.com/company/huron-river-ventures,,,,,,,,
Hurray Holdings,http://www.hurray.co.jp/english/index.html,,,,Japan,,,VC,,
Hustle Fund,https://www.hustlefund.vc/,https://www.linkedin.com/company/hustle-fund/,,"751 Laurel St, Suite 337 San Carlos, CA 94070, USA","USA,Indonesia,Vietnam,Canada","2. Prototype,3. Early Revenue","We invest in early-stage startups based in the US, Canada, and South-East Asia. 

Generalist fund trying to understand a team's hustle. Start with a fast-decision $25K check; work together on growth projects; if there's a fit (both ways), ask permission for $250-750K in your next raise. It's like dating before marriage, and founders hold us accountable to prove our hustle too!",VC,"$25,000 ",
HV Capital,https://www.hvcapital.com/,https://www.linkedin.com/company/hvventures/,,Germany,Germany,3. Early Revenue,,VC,"$200,000 ",
HWVP Hummer Winblad Venture Partners,https://www.hwvp.com/,,,"San Francisco, California, United States",USA,,,Other,,
Hyde Park Angels,https://hydeparkangels.com/,https://www.linkedin.com/company/hpa-vc,,"Chicago, Illinois, United States",USA,,,Other,,
Hyde Park Venture Partners,https://hydeparkvp.com/,https://www.linkedin.com/company/hyde-park-venture-partners/,,"415 N LaSalle St, Chicago, Illinois 60654, USA",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in B2B SaaS, marketplaces, tech-enabled services, and B2C software based in the US Midwest, Toronto, and Atlanta from idea stage through $2M+ in ARR. ",VC,"$250,000 ",
Hydra Ventures by Adidas,http://www.hydra-ventures.com/,,,"Herzogenaurach, Bayern, Germany","USA,Israel,Canada,Germany",3. Early Revenue,,Corporate VC,,
Hydrogen Ventures,http://www.hydrogen.la/,,,,,,,,,
Hypatia Capital,https://hypatiacapital.com/,,,,,,,,,
Hype Capital,http://www.hypesportsinnovation.com/investments/,https://www.linkedin.com/company/hype-sports-innovation/,,,,"2. Prototype,3. Early Revenue,4. Scaling",,VC,,
Hyper,https://www.hyperhq.com/,https://www.linkedin.com/company/hyperhq,,"Melbourne, Sydney & London","UK,Australia,New Zealand",1. Idea or Patent,"We help move you take your app idea from a dream to a functioning prototype ready to take to investors. Through our accelerate program we help you workshop the idea, monetise the business model, create pitches, develop your prototype and take what youâ€™ve created to investors.  ",Other,"$500,000 ",
I-Nest capital,https://www.i-nestcapital.com/,,,,Japan,,,VC,,
I2A,http://www.i2afund.com/,,,,,,,VC,,
I2BF Ventures,http://www.i2bf.com/,http://www.linkedin.com/company/i2bf-global-ventures,,USA,"USA,Israel,Canada",3. Early Revenue,,VC,,
i3 Equity Partners,https://www.i3equity.com/,,,,,"3. Early Revenue,4. Scaling",,VC,,
IA Capital Group,http://www.iacapgroup.com/,,,,,"3. Early Revenue,4. Scaling",,VC,,
IA Ventures,http://www.iaventures.com/,,,"New York, New York, United States",USA,,,Other,,
IAG Firemark Ventures,http://firemarklabs.com.au/ventures/,http://www.linkedin.com/company/firemark-ventures/about/,,"Sydney, New South Wales, Australia",Australia,,,Corporate VC,,
IAN Fund,https://www.ian-fund.com/,https://www.linkedin.com/showcase/ian-fund,,"Delhi, India",India,"3. Early Revenue,4. Scaling,5. Growth",We invest in post-revenue Indian startups. Sector agnostic.,VC,"$1,000,000 ",
iAngels,https://www.iangels.co/,https://www.linkedin.com/company/iangels/?originalSubdomain=il,,,,"3. Early Revenue,4. Scaling",,VC,,
