Investor name,Website,Linkedin,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
Innodo Ventures,http://www.innodo.co.il/,,,,"2. Prototype,3. Early Revenue",,VC,,
Innogest Capital,http://www.innogestcapital.com/,https://www.linkedin.com/company/innogest-sgr-spa,Italy,"Italy,USA",3. Early Revenue,,VC,,
Innogy Innovation Hub,https://innovationhub.innogy.com,,"Essen, Nordrhein-Westfalen, Germany",Germany,,,Corporate VC,,
Innogy Ventures,https://www.innogy.ventures/#what-we-invest-in,http://www.linkedin.com/company/innogy-venture-capital-gmbh,"Essen, Nordrhein-Westfalen, Germany","USA,Israel,Canada,Germany","2. Prototype,3. Early Revenue",,Corporate VC,"$1,000,000 ",
Innohub Capital,http://www.innohub.io/,,China,"Australia,China",,,VC,,
InnoSpring,http://www.innospringus.com/,https://www.linkedin.com/in/xiaoawang/,,,"2. Prototype,3. Early Revenue",,VC,,
InnoSpring Seed Fund,http://www.innospringseedfund.com/,https://www.linkedin.com/pub/feng-deng/1/976/638,USA,"China,USA",,,VC,,
Innov8 Investments,https://www.innov8investments.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Innova Capital Partners,http://www.innovacapitalpartners.com/,,,,,,,,
Innova Memphis,http://innovamemphis.com/,https://www.linkedin.com/company/innova-memphis,"Memphis, Tennessee, United States",USA,"2. Prototype,3. Early Revenue",,VC,,
Innovacom,http://innovacom.com/,https://www.linkedin.com/company/innovacom,"9, rue de TÃ©hÃ©ran F-75008 Paris France","France,Belgium,Austria,Germany,Italy,Spain,UK,Ireland,Luxembourg,Switzerland,Netherlands","3. Early Revenue,4. Scaling,2. Prototype","We invest in Deeptech, Hardware, Software",VC,"$1,000,000 ","$5,000,000 "
InnovaHealth Partners,https://www.innovahealthpartners.com/,https://www.linkedin.com/company/innovahealthpartnerslp/,USA,USA,,,VC,,
Innovate Mississippi,https://www.innovate.ms/,,,,,,Angel network,,
Innovating Capital,http://innovating.capital,https://www.linkedin.com/company/innovatingcapital/,"New York, New York, United States",USA,,,Family office,,
Innovation Capital,https://www.innovationcapital.bg/,https://www.linkedin.com/in/ivo-dimitrov-9149bb4/,,UK,,,VC,,
Innovation Catalyst,https://www.innovationcatalyst.us/,https://www.linkedin.com/company/innovationcatalyst,,,"2. Prototype,3. Early Revenue",,VC,,
Innovation Industries,https://www.innovationindustries.com/,https://www.linkedin.com/company/innovationindustries/,"Pietersbergweg 285, Amsterdam, Noord-Holland 1105 BM, NL","Netherlands,Germany,Belgium,Switzerland,Australia,UK,Denmark","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO,2. Prototype",We invest in European Deep Tech startups & scaleups that have a strong IP position,VC,"$1,000,000 ","$30,000,000 "
Innovation Nest,https://www.innovationnest.co/,https://www.linkedin.com/company/2279786,Ludwinowska 7/8 31-103 Krakow Poland,"Poland,Portugal,Spain,France,Denmark,Germany,UK,Estonia,Romania,Hungary",3. Early Revenue,"We invest in B2B Software companies across horizontal (sales, marketing, finance, hr) and vertical (logistics, ecommerce, services, horeca) markets with a live product and early revenue.",VC,"$300,000 ","$1,200,000 "
Innovation Works,https://www.innovationworks.org/,,USA,"USA,Israel,Canada",,,VC,,
InnovationEngine,https://www.innovation-engine.co.jp/e/index.html,,,Japan,,,VC,,
Miraisozo,http://miraisozo.co.jp/,,,Japan,,,VC,,
Innovative Advisory Group,http://www.innovativewealth.com,,"Lexington, Massachusetts, United States",USA,,,Family office,,
Innovestor Ventures,http://www.innovestorgroup.com/,https://www.linkedin.com/company/innovestor?originalSubdomain=fi,Finland,Finland,3. Early Revenue,,VC,,
InQvation,https://inqvation.dk/,https://www.linkedin.com/company/inqvation/,"Erik Husfeldts Vej 7, Taastrup, 2630, DK","Denmark,Sweden,Norway,Finland,Germany,Estonia,Latvia","3. Early Revenue,2. Prototype,1. Idea or Patent","We invest in start-ups when weâ€™re sure that our operational skill set, experience and network will bring an original vision to life. We donâ€™t pick and choose specific industries but invest wholeheartedly in teams that believe in the change they bring. And we tend to be among the first institutional investors and like to lead â€“ or co-lead â€“ the early financing rounds.",VC,"$200,000 ","$1,500,000 "
Inreach Ventures,http://www.inreachventures.com/,https://www.linkedin.com/in/john-mesrie-973a93a,,,,,Other,,
Insight Family Office,https://insightfamilyoffice.com,https://www.linkedin.com/company/insight-family-office/,"New York, New York, United States",USA,,,Family office,,
Insight Partners,https://www.insightpartners.com/,https://www.linkedin.com/company/insight--partners/,"New York, New York, United States","USA,Israel,Canada,France","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in the fastest-growing software/recurring revenue businesses across the globe,VC,"$7,000,000 ","$700,000,000 "
Insignia Ventures,https://www.insignia.vc/,,Singapore,Singapore,3. Early Revenue,,VC,,
InSite Partners,http://www.insitepartners.com/,,,,,,,,
Inspiration Ventures,https://www.inspirationvc.com/,,,,,,,,
Insta Ventures,https://insta.vc/,,Cyprus,"USA,Israel,Canada",3. Early Revenue,,VC,"$500,000 ",
Insurtech Capital,https://www.insurtechcapital.com/,https://www.linkedin.com/company/insurtechcapital/,Luxembourg,France,"3. Early Revenue,4. Scaling,5. Growth","We invest mainly in Insurtech, WealthTech, PropTech...",VC,"$100,000 ","$2,000,000 "
Insurtech Gateway,https://insurtechgateway.com/,https://www.linkedin.com/company/insurtech-gateway,"32 Blackfriars Road, London, England SE1 8PB, GB","UK,USA,France,Germany,Spain,Australia","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage Insurtech companies. Insurtech Gateway is the only investor with its own FCA authorised incubator + fund. The fastest place to build and launch an insurtech idea. The Gateway Fund supports the portfolio post-incubation, as they enter a phase of rapid growth and scale-up, to Series A and beyond.",VC,"$50,000 ","$1,000,000 "
InsurTech Israel,https://www.insurtechil.com,https://www.linkedin.com/company/insurtechisrael/,,,"2. Prototype,3. Early Revenue",,VC,,
IntangibleVC,https://www.intangiblevc.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Intango Ventures,https://ventures.intango.com/,https://www.linkedin.com/company/intango/,,,"2. Prototype,3. Early Revenue",,VC,,
Integra Holdings,http://www.integra-holdings.com,,,,"5. Growth,6. Pre-IPO",,VC,,
Integral Capital Partners,http://www.icp.com/,,"Menlo Park, California, United States",USA,,,Other,,
Intel Capital,http://www.intelcapital.com/,https://www.linkedin.com/company/intel-capital,"Santa Clara, California, United States","USA,Israel,Canada,France","3. Early Revenue,4. Scaling",,Corporate VC,"$1,000,000 ",
Interlace Ventures,https://interlaceventures.com/,https://www.linkedin.com/company/interlace-ventures,,,"2. Prototype,3. Early Revenue",,VC,,
Interlock Partners,https://interlock.vc/,https://www.linkedin.com/company/interlock-partners/,,,,,,,
Intermountain Healthcare Innovation Fund,https://intermountainhealthcare.org/about/transforming-healthcare/innovation/business-development/ventures/innovations-fund/,,,,,,Corporate VC,,
International Accelerator,http://internationalaccelerator.com/,https://www.linkedin.com/company/international-accelerator,,,,,VC,,
InterNex Capital,http://internexcapital.com/,https://www.linkedin.com/company/internex-capital,"New York, New York, United States",USA,,,Family office,,
Interplay Ventures,http://www.interplay.vc,https://www.linkedin.com/company/interplayventures/,,,,,VC,,
Intersouth Partners,https://www.intersouth.com/,,"Durham, North Carolina, United States",USA,,,Other,,
Interstellar Ventures,https://www.interstellar.ventures/,,Germany,Germany,3. Early Revenue,,VC,,
Interwest Partners,https://www.interwest.com/,http://www.linkedin.com/company/37642?trk=tyah,"Menlo Park, California, United States","USA,Israel,Canada",3. Early Revenue,,VC,,
Intonation Ventures,https://www.intonationventures.com/,https://www.linkedin.com/company/intonation-ventures/,"447 Broadway 2FL, New York, NY, 10013, USA","USA,Canada,UK,China","2. Prototype,3. Early Revenue","We invest $25k-$250k in early-stage consumer startups in North America and China. At Intonation, we invest in products that bring people joy. We see the steady decline in the world's happiness index as one of our biggest challenges. We'd love to back teams and products that bring smiles back, either through facilitating authentic social connections, creating fun digital/IRL experiences, enabling easier content creation, or many more. If you are doing just that, please let us know - we'd love to chat!",VC,"$25,000 ","$250,000 "
Intudo Ventures,https://www.intudovc.com/,https://www.linkedin.com/in/eddychan,Indonesia,Indonesia,3. Early Revenue,,VC,,
Intuition Fund,https://www.intuition.fund/,https://www.linkedin.com/in/mottivaknin/,,,"2. Prototype,3. Early Revenue",,VC,,
InveN Capital,http://www.invencapital.cz/,https://www.linkedin.com/company/invencapital-cz,Czech Republic,Czech Republic,,,VC,,
Invenshure,https://invenshure.com/,,,,,,VC,,
InVent by Intouch Holdings,http://www.inventvc.com,https://www.linkedin.com/company/4816589,"Bangkok, Krung Thep, Thailand",Thailand,,,Corporate VC,,
Inventages by NestlÃ©,http://www.inventages.com/,,Switzerland,"Israel,USA,Canada",3. Early Revenue,,Corporate VC,,
Inventure,https://inventure.vc/,https://www.linkedin.com/company/inventure/,"Lapinlahdenkatu 16, Helsinki, Southern Finland FI","Finland,Norway,Denmark,Iceland,Latvia,Estonia,Lithuania","3. Early Revenue,4. Scaling","We invest in Seed and Series A throughout the Nordics and Baltics, with a portfolio ranging from deep tech companies like Blueprint Genetics and AImotive to consumer internet brands like Insurello, Swappie, and Wolt.",VC,"$400,000 ","$4,000,000 "
Inventus Capital Partners,https://inventuscap.com/,https://www.linkedin.com/company/1673909,,India,,,Other,,
Inveready,https://inveready.com/,https://www.linkedin.com/company/inveready/,,UK,,,VC,,
InverSur Capital,http://scale.capital/,,,,,,VC,,
Invesco,https://www.invesco.fr/fr,,USA,"Canada,Israel,USA",,,VC,,
Invest Her Ventures,http://www.investherventures.com/,https://www.linkedin.com/company/10641112?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A10641112%2Cidx%3A2-1-2%2CtarId%3A1462995716539%2Ctas%3Ainvesther%20,,,,,,,
Invest In Future,https://investinfuture.nl/en/,,,Netherlands,,,VC,,
Invest Nebraska,https://www.investnebraska.com/,https://www.linkedin.com/company/invest-nebraska-corporation,,USA,,,Other,,
Invest PME,https://www.invest-pme.fr/,,,France,,,Other,,
Investec Emerging Companies,https://www.investec.com/en_au/emerging-companies.html,https://www.linkedin.com/company/806008,Australia,"Australia,UK,Israel,India",,,VC,"$2,000,000 ",
Investion,https://www.investion.net/,,,Netherlands,"2. Prototype,3. Early Revenue",,VC,,
Investir&+,http://fr.investiretplus.com/,https://www.linkedin.com/company/investir-&-,"14, rue des JeÃ»neurs, 75002, Paris, France ","France,Spain","3. Early Revenue,4. Scaling","We invest in social or environmental impact projects: social, health, greentech and circular economy",VC,"$250,000 ","$1,000,000 "
Investomex,https://www.investovc.com/,https://mx.linkedin.com/in/karimegerman,,,"2. Prototype,3. Early Revenue",,VC,,
Investors Club FrenchFounders,https://www.frenchfounders.com/,https://www.linkedin.com/company/frenchfounders/mycompany/,"27 W 20th St., Suite 800, New York, New York 10011, US","USA,France,Canada,UK,Belgium,Netherlands,Germany,Switzerland,Italy,Spain,Portugal","3. Early Revenue,4. Scaling","We invest in pre-seed, seed, and Series A. ",Angel network,"$200,000 ","$1,500,000 "
Invoke Capital,http://www.invokecapital.com/,https://www.linkedin.com/company/invoke-capital,UK,UK,3. Early Revenue,,VC,,
Invus,https://www.invus.com/,,"New York, New York, United States",USA,,,Other,,
ION Crossover Partners,https://www.ion-am.com/ioncrossoverpartners,https://www.linkedin.com/jobs/search/?f_C=56547&location=Worldwide&locationId=OTHERS.worldwide??source=content_type%253Areact%257Csource%253Afooter,,,"5. Growth,6. Pre-IPO",,VC,,
IP Group,https://www.ipgroupplc.com/,https://www.linkedin.com/company/ip-group-plc,UK,"USA,Canada,Australia,New Zealand,UK",3. Early Revenue,,VC,,
Iporanga Ventures,https://ipo.ventures/,https://www.linkedin.com/company/iporanga-ventures,"Rua Horacio Lafer 160 cj 52, CEP 04538-080, SÃ£o Paulo/SP, Brazil",Brazil,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in Brazilian pre-seed/seed stage startups developing sound products/solutions backed by superior technology teams.  ,VC,"$150,000 ","$1,000,000 "
IPR.VC,https://ipr.vc/,,,,,,Other,,
Irdi Soridec,https://www.irdisoridec.fr/,,,France,,,Other,,
Iris Capital,https://www.iriscapital.com/en,https://www.linkedin.com/company/iris-capital-management/,"62 rue Pierre Charron, Paris, 75008, FR","USA,Israel,France,Germany","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in tech and digital startups that disrupt their industries across Europe and beyond, from seed (500k) to pre-IPO stages (up to 30m)",VC,"$500,000 ","$20,000,000 "
IrishAngels,http://irishangels.com/,https://www.linkedin.com/company/vitalizeventuregroup/,"415 N. LaSalle Dr. Suite 504, Chicago, IL 60654",USA,"2. Prototype,3. Early Revenue","We invest in US-based software, consumer products, and medical devices.",Angel network,"$150,000 ","$1,000,000 "
Iron Wolf Capital,https://www.ironwolfcapital.com/,https://www.linkedin.com/company/ironwolfcapital/,,UK,,,VC,,
Ironfire Venturesâ€‹,http://www.ironfireventures.com/,,,Hong Kong,,,VC,,
Iroquois Valley Farmland,https://iroquoisvalley.com/,https://www.linkedin.com/company/iroquois-valley-farms-llc/,,,,,Other,,
Isai,http://www.isai.vc/,https://www.linkedin.com/company/isai-gestion/,"8 Avenue KlÃ©ber, 75116 Paris, FR",France,"3. Early Revenue,4. Scaling,2. Prototype,1. Idea or Patent","We invest in digital startups (B2C & B2B) with at least one French founder in Europe and in the US, from Pre-Seed to Series-A",VC,"$100,000 ","$3,000,000 "
iSeed Ventures,http://www.iseedvc.com/,,USA,"China,USA","2. Prototype,3. Early Revenue",,VC,,
iSelect Fund,https://www.iselectfund.com/,https://www.linkedin.com/company/iselect-fund,,,,,,,
ISGS Investment Works,https://isgs-iw.com/,,Japan,Japan,,,VC,,
Isomer Capital,https://isomercapital.com/,https://www.linkedin.com/company/isomer-capital/about/,,UK,,,VC,,
iSource,http://www.isourcevc.com/,,,,,,VC,,
Israel Biotech Fund,http://israelbiotechfund.com/,,,,,,VC,,
Israel Growth Partners,https://www.igpcapital.com/,https://www.linkedin.com/company/israel-growth-partners/,,,"5. Growth,6. Pre-IPO",,VC,,
Israel HealthCare Ventures,http://www.ihcv.co.il/,,,,"5. Growth,6. Pre-IPO",,VC,,
IIP Israel Investment Partners,https://www.iip.co.il/,,,,"5. Growth,6. Pre-IPO",,VC,,
Israel Secondary Fund,http://www.israelsecondary.com/,,,,"5. Growth,6. Pre-IPO",,VC,,
IT Farm,https://www.it-farm.com/,,Japan,"USA,Japan","2. Prototype,3. Early Revenue",,VC,,
IT-Translation,https://it-translation.fr/en/,https://www.linkedin.com/groups?gid=4173089,France,France,3. Early Revenue,,VC,,
Italian Angels for Growth,http://www.italianangels.net/,https://www.linkedin.com/company/italian-angels-for-growth,,,,,Angel network,,
Italian Business Angel Network,http://www.iban.it/,https://www.linkedin.com/company/iban-association/,,,,,Angel network,,
iTech Capital,http://www.itcap.ru/,,,,,,VC,,
Itochu Techno-Solutions,http://www.ctc-g.co.jp/en/index.html,,,Japan,,,Corporate VC,,
ITV Itochu Technology Ventures,http://www.techv.co.jp/en/,,,Japan,,,VC,,
ITR Ventures,https://www.itrventures.com/,https://www.linkedin.com/company/itr-ventures?trk=eml-company_page_created-body-view_cp_button&midToken=AQEXBrpWr6TFvw&fromEmail=fromEmail&ut=0bUG8aDLsrsTo1,,,,,,,
IU Angel Network,https://iuventures.com/investors/,https://www.linkedin.com/company/indiana-university-research-and-technology-corporation,,,,,Angel network,,
iVentures Asia,https://www.iventureim.com/,,,Hong Kong,,,VC,,
IVP,https://www.ivp.com/,https://www.linkedin.com/company/institutional-venture-partners-ivp,"Menlo Park, California, United States",USA,,,Other,,
iXcore,http://www.ixcore.com/,,,France,,,Other,,
iXFund,http://www.ixfund.net/,,France,France,3. Early Revenue,,VC,,
IXO Private Equity,https://www.ixope.fr/,https://fr.linkedin.com/company/ixo-private-equity,,France,,,Other,,
J. Hunt Holdings,http://jhuntholdings.com/,,"Vienna, Virginia, United States",USA,,,Family office,,
J12 Ventures,https://www.j12ventures.com/,https://www.linkedin.com/company/5324481,,UK,,,VC,,
Jackson Square Ventures,https://www.jsv.com/,//www.linkedin.com/company/jsv-vc,,,3. Early Revenue,,VC,,
JAFCO Group,https://www.jafco.co.jp/english/,,,Japan,,,VC,,
Jaina Capital,http://www.jaina.fr/?lang=en,https://www.linkedin.com/in/marc-simoncini/?originalSubdomain=fr,,France,,,Other,,
JAL Ventures,http://www.jalventures.com,,,,"2. Prototype,3. Early Revenue",,VC,,
Jalia Ventures,http://www.jaliaventures.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
JamJar Investments,http://www.jamjarinvestments.com/,,,,,,VC,,
Janvest Capital Partners,https://www.janvest.com/,,USA,"Israel,USA",3. Early Revenue,,VC,,
Japan Airlines Innovation Fund,https://www.jal.com/en/,,,Japan,,,Corporate VC,,
Japan Asia Investment,http://www.jaic-vc.co.jp/eng/index.html,,,Japan,,,VC,,
Japan Post,https://www.post.japanpost.jp/index_en.html,,,Japan,,,Corporate VC,,
Japan Private Equity,http://www.private-equity.co.jp/,,,Japan,,,VC,,
Javelin Venture Partners,https://javelinvp.com/,https://www.linkedin.com/pulse/announcing-45-million-venture-capital-investment-our-data-rosenberg/?trackingId=6kCXgf90SoyUF93cwp6efg%3D%3D,"San Francisco, California, United States",USA,,,Other,,
JaxAngels,https://www.jaxangels.com/,,,,,,Angel network,,
JCI Ventures,http://www.johnsoncontrols.com/ventures,https://www.linkedin.com/company/johnson-controls,"San Mateo, California, United States",USA,,,Corporate VC,,
Jefferson Corner Group,http://www.fundingpost.com/angelgroup/angel-group-profile.asp?fund=61,,,,,,Angel network,,
Jeito Capital,https://www.jeito.life/,https://www.linkedin.com/company/jeito-life/,France,France,3. Early Revenue,,VC,,
Jerusalem Global Ventures,http://www.jgv.com/,https://www.linkedin.com/in/shlomo-kalish-18443?,,,"5. Growth,6. Pre-IPO",,VC,,
JetBlue Ventures,https://www.jetblueventures.com/,https://www.linkedin.com/company/jetblue-technology-ventures,USA,"USA,Israel,Canada",3. Early Revenue,,VC,,
JF2 Capital Partners,https://www.jf2capital.com/,https://www.linkedin.com/company/24785164/,"Dallas, Texas, United States",USA,,,Family office,,
"JFFLabs, Inc. dba EmploymentTechnology Fund",http://jff.org/etf,https://www.linkedin.com/shareArticle?mini=true&url=https%3A//www.jff.org/what-we-do/etfjfflabs/&title=ETF%40JFFLabs&summary=&source=,,,,,Other,,
JiangMen Ventures,http://thejiangmen.com/en/index,,China,"Israel,USA,Canada,China",3. Early Revenue,,VC,,
JJDC by Johnson & Johnson,https://www.jnjinnovation.com/jjdc,,"Cambridge, Massachusetts, United States",USA,,,Corporate VC,,
JK&B Capital,http://www.jkbcapital.com/,,"Chicago, Illinois, United States",USA,,,Other,,
JMA Consultants,https://www.jmac.co.jp/,https://jp.linkedin.com/company/%EF%BC%88%E6%A0%AA%EF%BC%89%E6%97%A5%E6%9C%AC%E8%83%BD%E7%8E%87%E5%8D%94%E4%BC%9A%E3%82%B3%E3%83%B3%E3%82%B5%E3%83%AB%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0,,Japan,,,Corporate VC,,
Johnson Venture Partners,https://www.jvpfund.com/,,,USA,,,Other,,
Join Capital,https://www.join.capital/,https://www.linkedin.com/company/join-capital/,"StraÃŸburger Str. 55, Berlin, Berlin 10405, DE","Germany,Estonia,France,Spain,Portugal,Switzerland,UK,Nepal,Netherlands,Belgium,Finland,Sweden,Latvia,Lithuania,Denmark,Ireland,Czech Republic,Greece,Hungary,Italy,Norway,Poland",3. Early Revenue,"We invest in European B2B SaaS companies with focus on Industry Tech, Property Tech, and Enterprise Tech. Ideally with solid POCs or early revenues. ",VC,"$500,000 ","$3,000,000 "
Jolt Capital,https://jolt-capital.com/,https://www.linkedin.com/company/jolt-capital/,France,"USA,Israel,Canada,France",3. Early Revenue,,VC,,
Jopeko Capital,http://www.jopekocapital.com,,"Boston, Massachusetts, United States",USA,,,Family office,,
Journey Ventures,http://www.journeyventures.com/,https://www.linkedin.com/company/journey-ventures/,,,"5. Growth,6. Pre-IPO",,VC,,
Jovono,https://www.jovono.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Joy Capital,http://www.joycapital.com.cn/?s=en/team/index,,,,,,Other,,
Joy Ventures,http://joyventures.com/,https://www.linkedin.com/company/joy-ventures/,,,"5. Growth,6. Pre-IPO",,VC,,
Joyance Partners,https://www.joyancepartners.com/,https://www.linkedin.com/company/joyance-partners/,USA,"USA,Israel,Canada",,,VC,,
Joyo Capital Partners,http://www.jir-web.co.jp/,,,Japan,,,VC,,
JPIF Joint Polish Investment Fund,http://www.jpifund.com/,https://www.linkedin.com/company/joint-polish-investment-fund?trk=biz-companies-cym,Poland,Poland,3. Early Revenue,,VC,"$500,000 ",
JR East Start Up,http://jrestartup.co.jp/,,,Japan,,,Corporate VC,,
JSR Corporation,https://www.jsr.co.jp/jsr_e/,,Japan,USA,3. Early Revenue,,Corporate VC,,
JTB,https://www.jtbcorp.jp/en/,,,Japan,,,Corporate VC,,
Julius Capital Partners,http://www.juliuscap.com,,"New York, New York, United States",USA,,,Family office,,
Jump Capital,https://jumpcap.com/,https://www.linkedin.com/company/jump-capital,"Chicago, Illinois, United States",USA,,,Other,,
Jumpspeed Ventures,https://jumpspeed.co/,https://il.linkedin.com/company/jumpspeed-ventures,"Jerusalem, Israel",Israel,"1. Idea or Patent,2. Prototype","We invest in Jerusalem, Israel originated early stage tech startups ",VC,"$200,000 ","$1,000,000 "
Jumpstart New Jersey Angel Network,http://www.jumpstartnj.com/,https://www.linkedin.com/company/jumpstart-nj-angel-network,,,,,Angel network,,
Jumpstart Ventures,http://jumpstartsf.com/,,,USA,,,Other,,
Jungle Ventures,https://www.jungle.vc,https://www.linkedin.com/in/anujs/,Singapore,"Singapore,Australia",3. Early Revenue,,VC,"$1,000,000 ",
JVP Jerusalem Venture Partners,https://www.jvpvc.com/,https://www.linkedin.com/company/jvp/,"Margalit Start Up City, 24 Hebron Road, Jerusalem, Israel","USA,Israel,Canada","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO,2. Prototype","We invest in entrepreneurs from the earliest stage of investment and all the way to exit, building international market leaders, out of our hubs in Jerusalem (HQ), Beer Sheva (cyber), New York (cyber, fintech, food tech), Galilee (food and Agtech), Haifa (digital health). ",VC,"$1,000,000 ","$40,000,000 "
Jynwel Capitalâ€‹,http://www.jynwelcapital.com/,,,Hong Kong,,,VC,,
K - Invest,http://www.k-invest.de,https://www.linkedin.com/company/klingel-ventures/,"Pforzheim, Baden-Wurttemberg, Germany",Germany,,,Corporate VC,,
K Cube Ventures,http://www.kcubeventures.co.kr/,,,,,,VC,,
K Fund,https://en.kfund.vc/,https://www.linkedin.com/company/kfund/,"Calle Juan Bravo 10, 28006, Madrid, Spain","Spain,Portugal,USA,UK,Germany","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in pre-seed to pre-Series A B2B and B2C companies across Europe and the US.,VC,"$100,000 ","$2,000,000 "
K4 Ventures,http://www.k4v.co.jp/,,,Japan,,,Corporate VC,,
K5 Ventures,http://k5ventures.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Kaas Ventures,https://kaas.vc/,https://www.linkedin.com/company/kaas/,"P.C. Hooftstraat 141, 1071 BT, The Netherlands","Netherlands,Germany,UK,Belgium,France",3. Early Revenue,We invest in the most promising consumer-only brands across Europe,Angel network,"$50,000 ","$1,000,000 "
Kachuwa InvestmentCooperative PBC,https://www.kachuwaimpactfund.com/,https://www.linkedin.com/company/kachuwa-impact-fund,,,,,Other,,
Kactus Capital Management,http://www.KactusCapital.com,,"New York, New York, United States",USA,,,Family office,,
Kadima Group,https://www.kadimagroup.com.au/,http://www.linkedin.com/company/kadima-group,Australia,Australia,,,VC,,
Kaedan Capital,http://www.kaedan.com/,https://www.linkedin.com/company/kaedan-capital,,,"5. Growth,6. Pre-IPO",,VC,,
Kairos VC,https://www.kairos.com/,https://www.linkedin.com/company/kairos-ar-inc-,,,,,,,
Kairos Ventures,http://www.kairosventures.com,https://www.linkedin.com/company/kairos-venture-investments-llc.,,,,,,,
Kaiser Permanente Ventures,http://www.kpventures.com,https://www.linkedin.com/company/1550,"Oakland, California, United States",USA,,,Corporate VC,,
Kakao Investment,http://www.kvgcorp.com,,"Seongnam, Kyonggi-do, South Korea",South Korea,,,Corporate VC,,
Kakao Ventures,http://www.kakao.vc/,,South Korea,South Korea,3. Early Revenue,,VC,,
Kalaari Capital,https://www.kalaari.com/,https://www.linkedin.com/company/kalaari-capital/,"Navigator Building, ITPL, Whitefield, Bangalore 560066, Karnataka, India",India,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in tech startups building for the Indian market or building in India for the global markets,VC,"$300,000 ","$5,000,000 "
Kamet Ventures,https://www.kametventures.com/,https://www.linkedin.com/company/kamet/,,,"2. Prototype,3. Early Revenue",,VC,,
Kapor Capital,https://www.kaporcapital.com/,https://www.linkedin.com/company/kapor-capital/,"Oakland, California, United States",USA,,,Other,,
Karcher New Venture,https://www.kaercher.com/newventure,https://www.linkedin.com/company/alfred-kaercher-se-&-co-kg/,"Winnenden, Baden-Wurttemberg, Germany",Germany,,,Corporate VC,,
Karista,https://www.karista.vc/,https://www.linkedin.com/company/karistavc,"45 rue BoissiÃ¨re, 75116 Paris, France","France,UK,Spain,Germany,Belgium,Italy,Luxembourg,Netherlands,Switzerland","3. Early Revenue,2. Prototype","We invest in early-stage companies developing a true tech asset in Healthcare, Digital, Technology and NewSpace",VC,"$500,000 ","$2,000,000 "
Karlani Capital,http://www.karlani.com/,https://www.linkedin.com/company/karlani-capital,,,,,VC,,
Kaszek Ventures,https://www.kaszek.com/,https://www.linkedin.com/company/2892335,,,,,VC,,
Katjesgreenfood,http://www.katjesgreenfood.berlin/,https://www.linkedin.com/company/katjesgreenfood-gmbh-co-kg/,"Berlin, Berlin, Germany",Germany,,,Corporate VC,,
Kauri CAB Invest,http://www.kauricab.com/,,,,,,Other,,
Kaust Innovation Fund,https://innovation.kaust.edu.sa/kif/,https://www.linkedin.com/showcase/kaust-innovation-&-economic-development/,Saudi Arabia,USA,3. Early Revenue,,Corporate VC,"$200,000 ",
KBC Focus Fund,https://www.focusfund.be/,,Belgium,Belgium,2. Prototype,,VC,,
KBW Ventures,https://kbw-ventures.com,https://www.linkedin.com/company/18142640/,"San Mateo, California, United States",USA,,,Family office,,
KCRise Fund,https://www.kcrisefund.com/,https://www.linkedin.com/company/kcrise-fund/,,,"2. Prototype,3. Early Revenue",,VC,,
KDC Media Fund,http://kdc.fund,https://www.linkedin.com/company/kdc-media-fund,,,"2. Prototype,3. Early Revenue",,VC,,
KDDI Open Innovation Fund,https://www.kddi.com/english/ventures/koif/,,"Tokyo, Tokyo, Japan",Japan,,,Corporate VC,,
KdT Ventures,https://www.kdtvc.com/,https://www.linkedin.com/in/cainmcclary/,USA,USA,3. Early Revenue,,VC,,
Keadyn,https://www.keadyn.com/,https://nl.linkedin.com/in/ohadgilad,,Netherlands,"2. Prototype,3. Early Revenue",,VC,,
KEC Ventures,http://kecventures.com/,,,,"2. Prototype,3. Early Revenue",,VC,,
Kedma Capital,http://www.kedma-capital.com/,,,,"5. Growth,6. Pre-IPO",,VC,,
